"tid","Rörelsemängdsmoment (kg * m^2/s)","Förändring rörelsemängdsmoment","energi (J)","förändring energi","avstånd från analytisk lösning (m)","hastighet(m/s)","Hastighet jfr början","delta hastighet"
10.6999999999884,4000003.85885917,9.64714792051069E-07,-293714.945112416,-1.8713976412954E-07,2.46285846168456E-07,0.0516658555018258,0.291646387545644,0.00021252657772048
10.7999999999882,4000003.9010075,9.75251873924776E-07,-293714.944981973,-1.87583879651676E-07,2.5331587020719E-07,0.051880327305177,0.297008182629425,0.000214471803351241
10.8999999999879,4000003.94335202,9.85838005229667E-07,-293714.944865381,-1.87980833787904E-07,2.60480252090637E-07,0.0520967487985399,0.302418719963498,0.000216421493362914
10.9999999999877,4000003.98589599,9.96473998204905E-07,-293714.944762947,-1.88329589478897E-07,2.67780354213563E-07,0.0523151247070326,0.307878117675816,0.000218375908492718
11.0999999999875,4000004.02864267,1.00716066864237E-06,-293714.94467498,-1.88629086017578E-07,2.75217542651327E-07,0.0525354600208075,0.313386500520187,0.000220335313774835
11.1999999999872,4000004.07159539,1.01789884765502E-06,-293714.944601801,-1.88878236495604E-07,2.8279319213515E-07,0.052757759999401,0.318943999985024,0.000222299978593493
11.299999999987,4000004.11475753,1.02868938123279E-06,-293714.944543736,-1.89075928358484E-07,2.90508674850779E-07,0.0529820301761426,0.324550754403565,0.000224270176741627
11.3999999999868,4000004.15813252,1.03953312979854E-06,-293714.944501118,-1.89221026292152E-07,2.98365376588202E-07,0.0532082763626237,0.330206909065593,0.000226246186481122
11.4999999999865,4000004.20172388,1.05043096998436E-06,-293714.944474291,-1.89312363230165E-07,3.0636467669821E-07,0.0534365046532329,0.335912616330821,0.000228228290609138
11.5999999999863,4000004.24553515,1.06138378797027E-06,-293714.944463606,-1.89348743795392E-07,3.14507964474727E-07,0.0536667214297594,0.341668035743984,0.000230216776526501
11.6999999999861,4000004.28956996,1.07239249014235E-06,-293714.944469419,-1.89328949851131E-07,3.22796633922976E-07,0.0538989333660719,0.347473334151797,0.000232211936312517
11.7999999999858,4000004.333832,1.08345799931797E-06,-293714.9444921,-1.89251729287854E-07,3.31232084591998E-07,0.0541331474328734,0.353328685821836,0.000234214066801575
11.8999999999856,4000004.37832501,1.09458125141515E-06,-293714.944532026,-1.89115796467298E-07,3.39815712851765E-07,0.0543693709025399,0.359234272563496,0.000236223469666411
11.9999999999854,4000004.4230528,1.10576319922728E-06,-293714.944589581,-1.88919839660961E-07,3.48548929584979E-07,0.0546076113540438,0.365190283851096,0.000238240451503974
12.0999999999851,4000004.46801925,1.11700481286725E-06,-293714.944665162,-1.88662513500582E-07,3.57433145770429E-07,0.0548478766779711,0.371196916949278,0.000240265323927298
12.1999999999849,4000004.5132283,1.12830707510447E-06,-293714.944759174,-1.88342434093158E-07,3.66469776248349E-07,0.055090175081632,0.377254377040799,0.000242298403660836
12.2999999999847,4000004.55868397,1.13967099246715E-06,-293714.944872031,-1.87958192454651E-07,3.75660244136852E-07,0.0553345150942744,0.383362877356859,0.000244340012642404
12.3999999999844,4000004.60439035,1.15109758680454E-06,-293714.945004161,-1.875083361913E-07,3.85005974343436E-07,0.0555809055724018,0.389522639310046,0.000246390478127467
12.4999999999842,4000004.6503516,1.16258789928381E-06,-293714.945155998,-1.86991382045143E-07,3.94508398926391E-07,0.0558293557052026,0.395733892630064,0.000248450132800726
12.599999999984,4000004.69657198,1.17414299438678E-06,-293714.94532799,-1.86405806568146E-07,4.04168953230734E-07,0.0560798750200949,0.401996875502373,0.000250519314892367
12.6999999999837,4000004.7430558,1.18576394925185E-06,-293714.945520596,-1.85750050230027E-07,4.13989083545327E-07,0.0563324733883931,0.408311834709827,0.000252598368298169
12.7999999999835,4000004.78980744,1.19745185922504E-06,-293714.945734285,-1.85022511089983E-07,4.23970237158165E-07,0.0565871610311012,0.414679025777529,0.000254687642708085
12.8999999999833,4000004.83683138,1.20920784518752E-06,-293714.945969541,-1.84221543020335E-07,4.34113859399314E-07,0.0568439485248388,0.42109871312097,0.000256787493737601
12.999999999983,4000004.8841322,1.22103305000287E-06,-293714.94622686,-1.83345461368667E-07,4.4442140980192E-07,0.0571028468079047,0.427571170197619,0.00025889828306596
13.0999999999828,4000004.93171455,1.23292863740687E-06,-293714.946506747,-1.82392541625553E-07,4.54894357766337E-07,0.0573638671864855,0.434096679662138,0.000261020378580792
13.1999999999826,4000004.97958315,1.24489578801068E-06,-293714.946809723,-1.8136100909949E-07,4.65534169499518E-07,0.0576270213410139,0.440675533525347,0.000263154154528329
13.2999999999823,4000005.02774285,1.25693571173535E-06,-293714.947136323,-1.80249046910497E-07,4.76342324494608E-07,0.0578923213326839,0.447308033317097,0.000265299991670021
13.3999999999821,4000005.07619854,1.26904963426711E-06,-293714.947487095,-1.79054785776067E-07,4.87320304108942E-07,0.0581597796101297,0.453994490253242,0.000267458277445794
13.4999999999819,4000005.12495527,1.28123881770748E-06,-293714.947862602,-1.77776311893751E-07,4.98469592879988E-07,0.058429409016274,0.460735225406849,0.000269629406144278
